Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
aciuaș	A	0		a aciua	aș
acrobatică		0		acrobat	ică
actoraș	1	1		actor	aș
actoriță	Fem	0		actor	iță
acustică		0		acustic	ică
adogmatic		0		dogmă	ic
aerodinamică		0		aerodinam	ică
aeronautică		0		aeronaut	ică
aerostatică		0		aerostat	ică
afișor		0		afișa	ișor
africanistică		0		africanist	ică
agonistică		0		agonisită	ică
agrotehnică		0		agrotehnic	ică
agrozootehnică		0		agrozootehnie	ică
albinărel	1	1		albinar	el
albinioară		1		albină	ioară
albiniță		1		albină	iță
albinușă		1		albină	ușă
albișor	1	1		alb	ișor
alcoolic		0		alcool	ic
algoritmică		0		algoritm	ică
alunaș	1	1		alun	aș
alunel	1	1		alun	el
americanistică		0		americanist	ică
amharică		0		amhar	ică
amică	Fem	0		amic	ică
amoraș	1	1		amor	aș
analfabet		0		alfabet	et
analgezic		0		analgezie	ic
anecdotică		0		anecdotă	ică
anestezic		0		anestezie	ic
anglistică		0		anglist	ică
anișor	1	1		an	ișor
antialgic		0		algie	ic
antibiotic		0		antibioză	ic
anticriptogamic		0		criptogamă	ic
antidiabetic		0		diabet	ic
antinevralgic		0		nevralgie	ic
antipiretic		0		antipirină	ic
antipsihotic		0		psihoză	ic
antrețel	1	1		antreu	ețel
antroponimic		0		antroponim	ic
antroponomastică		0		antonomasie	ică
aplică		0		aplica	ică
apologet		0		apolog	et
apologetică		0		apologet	ică
arabistică		0		arabist	ică
arboraș	1	1		arbore	aș
arcaș	A	0		arc	aș
ardeiaș	1	1		ardei	aș
arendaș	A	0		arendă	aș
arendășiță	Fem	0		arendaș	iță
argățel	1	1		argat	el
arhitectonică		0		arhitect	ică
arhivistică		0		arhivist	ică
arhondăriță	Fem	0		arhondar	iță
aripioară		1		aripă	ioară
armaș	A	0		armă	aș
armăsăraș	1	1		armăsar	aș
armăsăruș		1		armăsar	uș
armășel	1	1		armaș	el
arnăuțel	1	1		arnăut	el
arsenic		0		arsen	ic
articolaș	1	1		articol	aș
artritic		0		artrită	ic
arțăraș	1	1		arțar	aș
ascetică		0		ascet	ică
ascitic		0		ascită	ic
astenic		0		astenie	ic
astmatic		0		astm	ic
astronautică		0		astronaut	ică
ataraxic		0		ataraxie	ic
atletică		0		atlet	ică
atomistică		0		atomist	ică
ațișoară		1		ață	ișoară
aușel	1	1	cuvânt dispărut not in DOOM3	auș	el
autocritică		0		autocrat	ică
automatică		0		automat	ică
autoraș	1	1		autor	aș
avocățel	1	1		avocat	el
baboiaș	1	1		baboi	aș
bacteriostatic		0		bacteriostază	ic
baideraș	1	1		baider	aș
balauroaică	Fem	0		balaur	ică
balcanistică		0		balcanist	ică
balconaș	1	1		balcon	aș
balistică		0		balistă	ică
balonaș	1	1		balon	aș
barmaniță	Fem	0		barman	iță
baronet		0		baron	et
bastonaș	1	1		baston	aș
bavețică		1		bavetă	ică
băcănioară		1		băcănie	ioară
bădișor	1	1		bade	ișor
bădițel	1	1		bădiță	el
bădițică		1		bădiță	ică
băiaș	A	0		baie	aș
băieșiță	Fem	0		băieș	iță
băietănaș	1	1		băietan	aș
băiețaș	1	1		băiat	aș
băiețel	1	1		băiat	el
băloșel	1	1	planta (adj.)	bălos	el
băltăgel	1	1		baltag	el
bălticică		1		baltă	icică
bănicioară		1		baniță	ioară
bănișor	1	1		ban	ișor
bănuțel	1	1		bănuț	el
bărbătuș		1		bărbat	uș
bărbățel	1	1		bărbat	el
bărbieriță	Fem	0		bărbier	iță
bărbișoară		1		barbă	ișoară
bărdaș	A	0		bardă	aș
băștinaș	A	0		baștină	aș
bătăiaș	A	0		bătaie	aș
bătrânel	1	1		bătrân	el
bătrânet		0		bătrân	et
băuturică		1		băutură	ică
bâtlănaș	1	1		bâtlan	aș
becheraș	1	1		becher	aș
berbecel	1	1		berbec	el
berbecuț		1		berbec	uț
betonică		0		beton	ică
bețigaș	1	1		băț	aș
bețișor	1	1		băț	ișor
biciușor		1		bici	ușor
bilețel	1	1		bilet	el
bioetică		0		etic	ică
biofizică		0		fizic	ică
biomecanică		0		biomecanic	ică
birtaș	A	0		birt	aș
birtășiță	Fem	0		birtaș	iță
bivoliță	Fem	0		bivol	iță
bizantinistică		0		bizantinist	ică
bloggeriță	Fem	0		blogger	iță
bluziță		1		bluză	iță
bluzuliță		1		bluză	uliță
bobocel	1	1		boboc	el
bogătaș	A	0		bogat	aș
boieriță	Fem	0		boier	iță
boiernaș	1	1		boier	aș
boieroaică	Fem	0		boier	ică
boldișor	1	1		bold	ișor
bolovănel	1	1		bolovan	el
boltaș	A	0		boltă	aș
boltișoară		1		boltă	ișoară
boltiță		1		boltă	iță
bondăraș	1	1		bondar	aș
bonețică		1		bonetă	ică
borcănaș	1	1		borcan	aș
bordeiaș	1	1		bordei	aș
borfaș	A	0		boarfă	aș
borșișor	1	1		borș	ișor
borșișor		1		borș	ișor
bostănel	1	1		bostan	el
botișor	1	1		bot	ișor
botoșel	1	1		botoș	el
boțișor	1	1		boț	ișor
bourel	1	1		bour	el
bouț		1		bou	uț
brădățel	1	1		brădet	el
brădișor	1	1		brad	ișor
brăduleț		1		brad	uleț
brățișor	1	1		braț	ișor
brățișor		1		braț	ișor
brândușică		1		brândușă	ică
brândușiță		1		brândușă	iță
brânișor	1	1		brână	ișor
brânzoaică		0		brânză	ică
brebenel	1	1	plantă	breabăn	el
breslaș	A	0		breaslă	aș
brișculiță		1		brișcă	uliță
britanic		0		britan	ic
broșurică		1		broșură	ică
brotăcel	1	1		brotac	el
brumărel	1	1		brumar	el
bucătărioară		1		bucătărie	ioară
bucățel	1	1	(planta) -ea + el	bucățea	el
bucățică		1		bucată	ică
buchețel	1	1		buchet	el
buciumaș	1	1		bucium	aș
buclucaș	A	0		bucluc	aș
buhăiaș	1	1		buhai	aș
buiestraș	A	0		buiestru	aș
bujoraș	1	1		bujor	aș
bujorel	1	1		bujor	el
bulgăraș	1	1		bulgăre	aș
bulgăroaică	Fem	0		bulgar	ică
bulzișor	1	1		bulz	ișor
bulzișor		1		bulz	ișor
bumbăcel	1	1		bumbac	el
bunel	1	1		bun	el
buntaș	A	0		bunt	aș
burcușoară		1		burcă	ușoară
burdușel	1	1		burduf	el
burețel	1	1		buret	el
burghiaș	1	1	insecta	burghiu	aș
bursucel	1	1		bursuc	el
burtică		1		burtă	ică
burticică		1		burtă	icică
butoiaș	1	1		butoi	aș
butucaș	1	1		butuc	aș
butucel	1	1		butuc	el
buzișoară		1		buză	ișoară
buzunăraș	1	1		buzunar	aș
buzunărel	1	1		buzunar	el
cafegioaică	Fem	0		cafegiu	ică
caicel	1	1	ca`ic	caic	el
caiețel	1	1		caiet	el
canonic		0		canon	ic
cantonieriță	Fem	0		cantonier	iță
capitălaș	1	1		capital	aș
capoțel	1	1		capot	el
carabușcă		1		carabă	ușcă
caraulaș	1	1	fem - strajă, străjer	caraulă	aș
caretaș	A	0		caretă	aș
carnețel	1	1		carnet	el
cartofior		1		cartof	ior
cartonaș	1	1		carton	aș
casieriță	Fem	0		casier	iță
castravecior		1		castravete	ior
castronaș	1	1		castron	aș
castronel	1	1		castron	el
cazacioc		0		cazac	oc
cazuistică		0		cazuist	ică
căciuliță		1		căciulă	uliță
căftănel	1	1		caftan	el
căierel	1	1	`ca-ier	caier	el
căișor	1	1		cal	ișor
călăraș	A	0		călare	aș
călcâiaș	1	1		călcâi	aș
căldăraș	A	0		căldare	aș
căldărușă		1		căldare	ușă
căldurică		1		căldură	ică
călțunaș	1	1		călțun	aș
călugăraș	1	1		călugăr	aș
călugăriță	Fem	0		călugăr	iță
călușel	1	1		căluș	el
cămăraș	A	0		cămară	aș
cămărășel	1	1		cămăraș	el
