Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
aciuaș	1	0		a aciua	aș
actoraș	1	1		actor	aș
alunaș	1	1		alun	aș
amoraș	1	1		amor	aș
arboraș	1	1		arbore	aș
arcaș	1	0		arc	aș
ardeiaș	1	1		ardei	aș
arendaș	1	0		arendă	aș
armaș	1	0		armă	aș
armăsăraș	1	1		armăsar	aș
articolaș	1	1		articol	aș
arțăraș	1	1		arțar	aș
autoraș	1	1		autor	aș
baboiaș	1	1		baboi	aș
baideraș	1	1		baider	aș
balconaș	1	1		balcon	aș
balonaș	1	1		balon	aș
bastonaș	1	1		baston	aș
becheraș	1	1		becher	aș
bețigaș	1	1		băț	aș
birtaș	1	0		birt	aș
bogătaș	1	0		bogat	aș
boiernaș	1	1		boier	aș
boltaș	1	0		boltă	aș
bondăraș	1	1		bondar	aș
borcănaș	1	1		borcan	aș
bordeiaș	1	1		bordei	aș
borfaș	1	0		boarfă	aș
breslaș	1	0		breaslă	aș
buciumaș	1	1		bucium	aș
buclucaș	1	0		bucluc	aș
buhăiaș	1	1		buhai	aș
buiestraș	1	0		buiestru	aș
bujoraș	1	1		bujor	aș
bulgăraș	1	1		bulgăre	aș
buntaș	1	0		bunt	aș
burghiaș	1	1	insecta	burghiu	aș
butoiaș	1	1		butoi	aș
butucaș	1	1		butuc	aș
buzunăraș	1	1		buzunar	aș
bâtlănaș	1	1		bâtlan	aș
băiaș	1	0		baie	aș
băietănaș	1	1		băietan	aș
băiețaș	1	1		băiat	aș
bărdaș	1	0		bardă	aș
bătăiaș	1	0		bătaie	aș
băștinaș	1	0		baștină	aș
capitălaș	1	1		capital	aș
caraulaș	1	1	fem - strajă, străjer	caraulă	aș
caretaș	1	0		caretă	aș
cartonaș	1	1		carton	aș
castronaș	1	1		castron	aș
ceaunaș	1	1		ceaun	aș
cercetaș	1	0		a cerceta	aș
cetaș	1	0		ceată	aș
ceteraș	1	0		ceteră	aș
chenăraș	1	1		chenar	aș
chiaburaș	1	1		chiabur	aș
chimiraș	1	1		chimir	aș
chiriaș	1	0		chirie	aș
cimpoiaș	1	1		cimpoi	aș
ciobănaș	1	1		cioban	aș
ciocoiaș	1	1		ciocoi	aș
ciocănaș	1	1		ciocan	aș
ciolănaș	1	1		ciolan	aș
ciomăgaș	1	1		ciomag	aș
ciortănaș	1	1	crap mic	ciortan	aș
ciubăraș	1	1		ciubăr	aș
ciucuraș	1	1		ciucure	aș
claponaș	1	1		clapon	aș
claviraș	1	1		clavir	aș
clondiraș	1	1		clondir	aș
clăcaș	1	0		clacă	aș
codaș	1	0		coadă	aș
cofăiaș	1	1		cofei	aș
colibaș	1	0		colibă	aș
colțunaș	1	1		colțun	aș
completaș	1	0	soldat	a completa	aș
complotaș	1	0		complot	aș
condeiaș	1	1		condei	aș
conduraș	1	1		condur	aș
copilaș	1	1		copil	aș
copoiaș	1	1		copoi	aș
cordonaș	1	1		cordon	aș
coridoraș	1	1		coridor	aș
cortelaș	1	0	cortel din magh	cortel	aș
cosaș	1	0		a cosi	aș
cotlonaș	1	1		cotlon	aș
covoraș	1	1		covor	aș
creionaș	1	1		creion	aș
crâmpeiaș	1	1		crâmpei	aș
cuconaș	1	1		cucon	aș
cufăraș	1	1		cufăr	aș
culpaș	1	0		culpă	aș
cuptoraș	1	1		cuptor	aș
curcănaș	1	1		curcan	aș
cuțitaș	1	1		cuțit	aș
cârcotaș	1	0		cârcotă	aș
cârligaș	1	1		cârlig	aș
cârlănaș	1	1		cârlan	aș
călcâiaș	1	1		călcâi	aș
căldăraș	1	0		căldare	aș
călugăraș	1	1		călugăr	aș
călăraș	1	0		călare	aș
călțunaș	1	1		călțun	aș
cămăraș	1	0		cămară	aș
cănăraș	1	1		canar	aș
căpitălaș	1	1		capital	aș
căpitănaș	1	1		căpitan	aș
căprioraș	1	1		căprior	aș
cărbunaș	1	1		cărbune	aș
cărpinaș	1	0		carpen	aș
căruțaș	1	0		căruță	aș
căuzaș	1	0		cauză	aș
căvălaș	1	1		caval	aș
dicționăraș	1	1		dicționar	aș
dijmaș	1	0		dijmă	aș
directoraș	1	1		director	aș
doctoraș	1	1		doctor	aș
docăraș	1	1		docar	aș
doinaș	1	0		doină	aș
drumaș	1	0		drum	aș
dulăpaș	1	1		dulap	aș
dăscălaș	1	1		dascăl	aș
dăunaș	1	0		daună	aș
enoriaș	1	0		enorie	aș
fecioraș	1	1		fecior	aș
ferăstraș	1	1		ferăstrău	aș
fierăstrăiaș	1	1		fierăstrău	aș
flaconaș	1	1		flacon	aș
fluieraș	1	1		fluier	aș
fluturaș	1	1		flutur	aș
flăcăiaș	1	1		flăcău	aș
fruntaș	1	0		frunte	aș
fuioraș	1	1		fuior	aș
funcționăraș	1	1		funcționar	aș
fundaș	1	0		fund	aș
fuștaș	1	0		fuște	aș
făptaș	1	0		faptă	aș
gazetăraș	1	1		gazetar	aș
geamăntănaș	1	1		geamantan	aș
ghiborțaș	1	1	pește	ghiborț	aș
ghiozdănaș	1	1		ghiozdan	aș
glotaș	1	0		gloată	aș
gonaș	1	0		goană	aș
greieraș	1	1		greier	aș
guleraș	1	1		guler	aș
gălbenaș	1	1		galben	aș
holteiaș	1	1		holtei	aș
hulubaș	1	1		hulub	aș
hârdăiaș	1	1		hârdău	aș
hăitaș	1	1		haită	aș
