Infinitiv	InfSubst	Part	Alternative
abandona	abandonare	abandonat
abate	abatere	abătut
abona	abonare	abonat
aborda	abordare	abordat
absenta	absentare	absentat
absolvi	absolvire	absolvit
absorbi	absorbire	absorbit
acapara	acaparare	acaparat
accelera	accelerare	accelerat
accentua	accentuare	accentuat
accepta	acceptare	acceptat
accidenta	accidentare	accidentat
achita	achitare	achitat
achiziționa	achiziționare	achiziționat
aclimatiza	aclimatizare	aclimatizat
acomoda	acomodare	acomodat
acoperi	acoperire	acoperit
acorda	acordare	acordat
acredita	acreditare	acreditat
activa	activare	activat
acționa	acționare	acționat
acumula	acumulare	acumulat
acuza	acuzare	acuzat
adapta	adaptare	adaptat
adăuga	adăugare	adăugat
adera	aderare	aderat
adjudeca	adjudecare	adjudecat
administra	administrare	administrat
admira	admirare	admirat
admite	admitere	admis
adopta	adoptare	adoptat
adormi	adormire	adormit
adresa	adresare	adresat
aduce	aducere	adus
aduna	adunare	adunat
afecta	afectare	afectat
afirma	afirmare	afirmat
afla	aflare	aflat
agita	agitare	agitat
aglomera	aglomerare	aglomerat
agrava	agravare	agravat
agrea	agreere	agreat
agresa	agresare	agresat
ajunge	ajungere	ajuns
ajuta	ajutare	ajutat
alarma	alarmare	alarmat
alătura	alăturare	alăturat
alege	alegere	ales
alerga	alergare	alergat
alerta	alertare	alertat
alia	aliere	aliat
alimenta	alimentare	alimentat
alina	alinare	alinat
aloca	alocare	alocat
alterna	alternare	alternat
ambala	ambalare	ambalat
ameliora	ameliorare	ameliorat
amenaja	amenajare	amenajat
amenda	amendare	amendat
aminti	amintire	amintit
amortiza	amortizare	amortizat
amplasa	amplasare	amplasat
amplifica	amplificare	amplificat
amputa	amputare	amputat
amuza	amuzare	amuzat
analiza	analizare	analizat
ancheta	anchetare	anchetat
anestezia	anesteziere	anesteziat
angaja	angajare	angajat
anihila	anihilare	anihilat
anima	animare	animat
anticipa	anticipare	anticipat
antrena	antrenare	antrenat
anula	anulare	anulat
anunța	anunțare	anunțat
aparține	aparținere	aparținut
apăra	apărare	apărat
apărea	apărere	apărut	apariție
apela	apelare	apelat
aplauda	aplaudare	aplaudat
aplica	aplicare	aplicat
aprecia	apreciere	apreciat
aprinde	aprindere	aprins
aproba	aprobare	aprobat
aprofunda	aprofundare	aprofundat
apropia	apropiere	apropiat
aproviziona	aprovizionare	aprovizionat
apuca	apucare	apucat
